mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170802_QC_1_POS.mzML	POS	QC	QC		2017-08-02 12:41:43	1
20170802_1w_4C_VACUM_a_POS.mzML	POS	1w	4C_VACUUM	a	2017-08-02 12:50:27	2
20170802_1d_4C_VACUM_a_POS.mzML	POS	1d	4C_VACUUM	a	2017-08-02 13:02:14	3
20170802_2h_RT_c_POS.mzML	POS	2h	RT	c	2017-08-02 13:10:58	4
20170802_3d_RT_a_POS.mzML	POS	3d	RT	a	2017-08-02 13:22:44	5
20170802_6h_BAG_b_POS.mzML	POS	6h	BAG	b	2017-08-02 13:31:28	6
20170802_1d_BAG_c_POS.mzML	POS	1d	BAG	c	2017-08-02 13:43:14	7
20170802_2d_RT_c_POS.mzML	POS	2d	RT	c	2017-08-02 13:51:57	8
20170802_2d_RT_a_POS.mzML	POS	2d	RT	a	2017-08-02 14:03:44	9
20170802_QC_2_POS.mzML	POS	QC	QC		2017-08-02 14:12:29	10
20170802_6h_RT_b_POS.mzML	POS	6h	RT	b	2017-08-02 14:24:14	11
20170802_2w_RT_c_POS.mzML	POS	2w	RT	c	2017-08-02 14:32:58	12
20170802_1w_4C_VACUM_b_POS.mzML	POS	1w	4C_VACUUM	b	2017-08-02 14:44:45	13
20170802_6h_4C_BAG_c_POS.mzML	POS	6h	4C_BAG	c	2017-08-02 14:53:29	14
20170802_1w_RT_a_POS.mzML	POS	1w	RT	a	2017-08-02 15:05:15	15
20170802_1w_BAG_b_POS.mzML	POS	1w	BAG	b	2017-08-02 15:13:58	16
20170802_3d_RT_c_POS.mzML	POS	3d	RT	c	2017-08-02 15:25:46	17
20170802_2d_BAG_a_POS.mzML	POS	2d	BAG	a	2017-08-02 15:34:30	18
20170802_QC_3_POS.mzML	POS	QC	QC		2017-08-02 15:46:16	19
20170802_6h_BAG_a_POS.mzML	POS	6h	BAG	a	2017-08-02 15:55:00	20
20170802_2w_4C_BAG_b_POS.mzML	POS	2w	4C_BAG	b	2017-08-02 16:06:46	21
20170802_1w_VACUM_b_POS.mzML	POS	1w	VACUUM	b	2017-08-02 16:15:31	22
20170802_1w_4C_BAG_c_POS.mzML	POS	1w	4C_BAG	c	2017-08-02 16:27:17	23
20170802_1w_4C_VACUM_c_POS.mzML	POS	1w	4C_VACUUM	c	2017-08-02 16:36:02	24
20170802_1w_BAG_c_POS.mzML	POS	1w	BAG	c	2017-08-02 16:47:48	25
20170802_2d_4C_BAG_a_POS.mzML	POS	2d	4C_BAG	a	2017-08-02 16:56:32	26
20170802_2d_4C_BAG_c_POS.mzML	POS	2d	4C_BAG	c	2017-08-02 17:08:19	27
20170802_QC_4_POS.mzML	POS	QC	QC		2017-08-02 17:17:03	28
20170802_1w_RT_b_POS.mzML	POS	1w	RT	b	2017-08-02 17:28:48	29
20170802_2w_BAG_a_POS.mzML	POS	2w	BAG	a	2017-08-02 17:37:32	30
20170802_3d_4C_VACUM_c_POS.mzML	POS	3d	4C_VACUUM	c	2017-08-02 17:49:19	31
20170802_1d_4C_BAG_c_POS.mzML	POS	1d	4C_BAG	c	2017-08-02 17:58:03	32
20170802_6h_VACUM_c_POS.mzML	POS	6h	VACUUM	c	2017-08-02 18:09:49	33
20170802_1d_4C_VACUM_c_POS.mzML	POS	1d	4C_VACUUM	c	2017-08-02 18:18:33	34
20170802_2d_VACUM_a_POS.mzML	POS	2d	VACUUM	a	2017-08-02 18:30:20	35
20170802_6h_BAG_c_POS.mzML	POS	6h	BAG	c	2017-08-02 18:39:03	36
20170802_QC_5_POS.mzML	POS	QC	QC		2017-08-02 18:50:50	37
20170802_1d_4C_BAG_a_POS.mzML	POS	1d	4C_BAG	a	2017-08-02 18:59:34	38
20170802_2w_4C_BAG_c_POS.mzML	POS	2w	4C_BAG	c	2017-08-02 19:11:21	39
20170802_6h_4C_VACUM_a_POS.mzML	POS	6h	4C_VACUUM	a	2017-08-02 19:20:06	40
20170802_6h_VACUM_b_POS.mzML	POS	6h	VACUUM	b	2017-08-02 19:31:51	41
20170802_1d_BAG_b_POS.mzML	POS	1d	BAG	b	2017-08-02 19:40:36	42
20170802_6h_4C_VACUM_c_POS.mzML	POS	6h	4C_VACUUM	c	2017-08-02 19:52:22	43
20170802_1w_RT_c_POS.mzML	POS	1w	RT	c	2017-08-02 20:01:07	44
20170802_2w_BAG_b_POS.mzML	POS	2w	BAG	b	2017-08-02 20:12:54	45
