"name"	"rt_width"	"mz_width"	"mz_width_ppm"	"mz_ppm"	"multi_pk_count"	"QC"	"X4C_VACUUM"	"RT"	"BAG"	"X4C_BAG"	"VACUUM"	"delta_rt"
"1-Methylhistidine"	6.07280487805054	0.000881924500171264	5.18497607076125	0.825942814180965	100	100	100	100	100	100	100	-2
"3-Methylhistidine"	6.0500239234467	0.000894341213373155	5.25797548177495	0.83825136943759	100	100	100	100	100	100	100	-1
"5-MTA"	6.94981818181636	0.00346274446668427	11.616193994548	1.88328342127816	0	0	0	14.2857142857143	27.7777777777778	0	16.6666666666667	-3
"5-Oxoproline"	17.5505263157974	0.00222702522684265	17.1244096085493	1.11031968451842	12	100	88.8888888888889	100	100	100	94.4444444444444	-9
"8-Oxo-2-Deoxyguanosine"	4.47626086956522	0.00109541943884472	3.8557613384151	1.65213879422567	0	16.6666666666667	0	100	0	0	0	2
"Acetyl-Glucosamine"	5.84611695906632	0.00168316828216083	6.89599126557463	1.14341205504111	63	100	100	100	100	100	100	0
"Acetylcarnitine"	15.272826530618	0.00156719430494893	7.67769601748425	0.787072291354443	91	100	100	100	100	100	100	1
"Acetylhistidine"	5.4947933884314	0.000848593088319789	4.28394808545201	13.664132052812	15	100	100	100	94.4444444444444	100	100	-1
"Acetylneuraminic Acid"	4.3476012658257	0.00457804211388804	16.7018709477512	42.192133647738	66	100	88.8888888888889	57.1428571428571	100	88.8888888888889	100	-5
"Adenosine"	5.85999999995998	0.000478912993401082	1.78629148141718	2.18929278218031	0	0	0	4.76190476190476	0	0	0	-4
"ADP"	29.76463888889	0.00178812016888388	4.1774875485719	1.26273132718404	0	100	55.5555555555556	61.9047619047619	77.7777777777778	55.5555555555556	72.2222222222222	-16
"Alanine"	4.04696190476457	0.000701652531807895	7.79135866414998	2.93681822137992	0	100	100	100	100	100	100	-10
"alpha-Aminoadipic acid"	4.65500000000211	0.00100854766864924	6.22268847019862	1.1256149610972	2	0	44.4444444444444	9.52380952380952	55.5555555555556	50	38.8888888888889	-7
